year,geo_name,geo,income
2014,Hawaii,04000US15,68201
2014,Idaho,04000US16,47334
2014,Illinois,04000US17,57166
2014,Indiana,04000US18,48737
2014,Iowa,04000US19,52716
2014,Kansas,04000US20,51872
2014,Kentucky,04000US21,43342
2014,Louisiana,04000US22,44991
2014,Maine,04000US23,48804
2014,Maryland,04000US24,74149
2014,Massachusetts,04000US25,67846
2014,Michigan,04000US26,49087
2014,Minnesota,04000US27,60828
2014,Mississippi,04000US28,39464
2014,Missouri,04000US29,47764
2014,Montana,04000US30,46766
2014,Nebraska,04000US31,52400
2014,Nevada,04000US32,52205
2014,New Hampshire,04000US33,65986
2014,New Jersey,04000US34,72062
2014,New Mexico,04000US35,44968
2014,New York,04000US36,58687
2014,North Carolina,04000US37,46693
2014,North Dakota,04000US38,55579
2014,Ohio,04000US39,48849
2014,Oklahoma,04000US40,46235
2014,Oregon,04000US41,50521
2014,Pennsylvania,04000US42,53115
2014,Rhode Island,04000US44,56423
2014,South Carolina,04000US45,45033
2014,South Dakota,04000US46,50338
2014,Tennessee,04000US47,44621
2014,Texas,04000US48,52576
2014,Utah,04000US49,59846
2014,Vermont,04000US50,54447
2014,Virginia,04000US51,64792
2014,Washington,04000US53,60294
2014,West Virginia,04000US54,41576
2014,Wisconsin,04000US55,52738
2014,Wyoming,04000US56,58252
2014,Puerto Rico,04000US72,19686
2015,Alaska,04000US02,72515
2015,Alabama,04000US01,43623
2015,Arkansas,04000US05,41371
2015,Arizona,04000US04,50255
2015,California,04000US06,61818
2015,Colorado,04000US08,60629
2015,Connecticut,04000US09,70331
2015,District of Columbia,04000US11,70848
2015,Delaware,04000US10,60509
2015,Florida,04000US12,47507
2015,Georgia,04000US13,49620
2015,Hawaii,04000US15,69515
2015,Iowa,04000US19,53183
2015,Idaho,04000US16,47583
2015,Illinois,04000US17,57574
2015,Indiana,04000US18,49255
2015,Kansas,04000US20,52205
2015,Kentucky,04000US21,43740
2015,Louisiana,04000US22,45047
2015,Massachusetts,04000US25,68563
2015,Maryland,04000US24,74551
2015,Maine,04000US23,49331
2015,Michigan,04000US26,49576
2015,Minnesota,04000US27,61492
2015,Missouri,04000US29,48173
2015,Mississippi,04000US28,39665
2015,Montana,04000US30,47169
2015,North Carolina,04000US37,46868
2015,North Dakota,04000US38,57181
2015,Nebraska,04000US31,52997
2015,New Hampshire,04000US33,66779
2015,New Jersey,04000US34,72093
2015,New Mexico,04000US35,44963
2015,Nevada,04000US32,51847
2015,New York,04000US36,59269
2015,Ohio,04000US39,49429
2015,Oklahoma,04000US40,46879
2015,Oregon,04000US41,51243
2015,Pennsylvania,04000US42,53599
2015,Puerto Rico,04000US72,19350
2015,Rhode Island,04000US44,56852
2015,South Carolina,04000US45,45483
2015,South Dakota,04000US46,50957
2015,Tennessee,04000US47,45219
2015,Texas,04000US48,53207
2015,Utah,04000US49,60727
2015,Virginia,04000US51,65015
2015,Vermont,04000US50,55176
2015,Washington,04000US53,61062
2015,Wisconsin,04000US55,53357
2015,West Virginia,04000US54,41751
2015,Wyoming,04000US56,58840
2016,Alabama,04000US01,44758
2016,Alaska,04000US02,74444
2016,Arizona,04000US04,51340
2016,Arkansas,04000US05,42336
2016,California,04000US06,63783
2016,Colorado,04000US08,62520
2016,Connecticut,04000US09,71755
2016,Delaware,04000US10,61017
2016,District of Columbia,04000US11,72935
2016,Florida,04000US12,48900
2016,Georgia,04000US13,51037
2016,Hawaii,04000US15,71977
2016,Idaho,04000US16,49174
2016,Illinois,04000US17,59196
2016,Indiana,04000US18,50433
2016,Iowa,04000US19,54570
2016,Kansas,04000US20,53571
2016,Kentucky,04000US21,44811
2016,Louisiana,04000US22,45652
2016,Maine,04000US23,50826
2016,Maryland,04000US24,76067
2016,Massachusetts,04000US25,70954
2016,Michigan,04000US26,50803
2016,Minnesota,04000US27,63217
2016,Mississippi,04000US28,40528
2016,Missouri,04000US29,49593
2016,Montana,04000US30,48380
2016,Nebraska,04000US31,54384
2016,Nevada,04000US32,53094
2016,New Hampshire,04000US33,68485
2016,New Jersey,04000US34,73702
2016,New Mexico,04000US35,45674
2016,New York,04000US36,60741
2016,North Carolina,04000US37,48256
2016,North Dakota,04000US38,59114
2016,Ohio,04000US39,50674
2016,Oklahoma,04000US40,48038
2016,Oregon,04000US41,53270
2016,Pennsylvania,04000US42,54895
2016,Rhode Island,04000US44,58387
2016,South Carolina,04000US45,46898
2016,South Dakota,04000US46,52078
2016,Tennessee,04000US47,46574
2016,Texas,04000US48,54727
2016,Utah,04000US49,62518
2016,Vermont,04000US50,56104
2016,Virginia,04000US51,66149
2016,Washington,04000US53,62848
2016,West Virginia,04000US54,42644
2016,Wisconsin,04000US55,54610
2016,Wyoming,04000US56,59143
2016,Puerto Rico,04000US72,19606
